,BFS_NUMMER,EINWOHNERZ,centroid
5,3851,11136,4.32147450547999 30.577153044924277
31,1630,17587,3.8385325677369178 30.552535203306324
45,6512,10854,4.178001744726838 30.492884483614482
46,6487,16399,3.5173929975133817 30.450306909218988
55,1301,14949,4.133047993659556 30.504978529074275
60,1632,12446,3.9607498223707065 30.46576864580564
77,261,391359,3.486279337856525 30.729411759129423
95,1407,10232,4.015617337230239 30.539009743807814
98,5192,63668,3.8290096857045963 30.375978697140432
102,230,106778,3.9019636487295313 30.565641343305956
140,6421,39027,4.102630885129247 30.546174881716606
151,1372,14880,5.503035681315333 30.215679712169475
155,351,130015,3.737004065395141 30.514027284450606
159,355,39998,3.9610176474989474 30.546247244342265
202,1362,11301,3.936928853692793 30.547477364767552
209,2939,35927,4.12358967666643 30.51136280613227
227,3203,75310,4.022522835608095 30.550649107996918
240,6002,12935,3.970934559755918 30.546300423820796
245,5586,133897,4.009593968213104 30.55090401092124
262,5886,26208,3.9109039528928875 30.538558264639878
272,296,16693,3.249322582717453 30.52618326381514
278,5254,14929,3.936143473003358 30.55773897278545
296,3251,11273,3.991633959120198 30.52484925041017
305,1331,12395,4.0141469122816735 30.56468437394869
310,6266,33296,3.9663951290951074 30.5415912546152
320,198,33412,4.346210596330251 30.50042178717211
322,3901,34547,3.9364191845790035 30.545671059499426
326,1061,81057,3.985178428498234 30.536710905574015
331,3443,18053,3.9290449110230425 30.56489440616062
333,4566,24578,3.9508748054315923 30.561464925284817
335,1059,27229,3.96399843724751 30.538644250152554
341,2546,16480,4.04273122785533 30.4839730474939
358,3001,15512,3.9639883863364154 30.54501423135618
363,1701,23228,3.9037007995159083 30.568577779351084
366,6136,17342,4.011903646915664 30.548173838410978
390,2701,168620,4.047861588259891 30.556220341032297
391,2125,21464,4.006949692345979 30.528710655683323
398,6436,10433,4.012007288842681 30.564390091155364
400,861,11466,4.239035154068383 30.362301642352268
418,3340,26722,3.9510272939217965 30.54518162861255
419,117,10799,3.938985020196049 30.547094666992635
426,6711,12485,4.318660277195107 30.498026087033818
442,133,20033,4.160151137073314 30.47225763768506
444,942,43303,3.986722494722454 30.54370328234359
447,1711,28603,3.833703880463664 30.437303477823136
449,371,53667,3.901011531419105 30.53448231349677
453,627,11423,3.9555374634502924 30.565414304217516
459,3427,23715,3.883329870016614 30.566073182637183
470,1024,29292,3.9925405701075896 30.544984701844275
483,177,11275,3.995919355508549 30.536632990973672
491,62,18373,3.9897702733020886 30.54798579542766
493,5002,18131,3.910692470644265 30.55410906776935
494,6248,16547,3.9744326518773767 30.543219766928015
495,6458,33815,3.9857833961241464 30.55853507517834
496,4461,12814,3.690640756615301 30.551388715574003
498,4254,10746,4.039093491760405 30.573365876871424
521,2829,13956,4.105807923410155 30.534934562606498
525,142,21245,3.9594063044518224 30.555379870944464
531,1702,15523,3.9785829613175334 30.547949538151386
558,329,15316,3.884224689042276 30.57346259607547
559,768,12555,3.962943822602032 30.597096178234487
560,2770,17538,4.942947394227274 30.10838157422239
567,121,23938,4.232701237863592 29.91309205826163
588,53,18895,4.142644523536846 30.522352651145784
593,3271,12187,3.9711399963734606 30.408964047754164
594,6621,194565,3.959364822149134 30.545767982220074
596,4258,12897,3.964656674954833 30.5668074846623
608,404,15998,3.980246044023397 30.539137367556236
617,4946,11039,3.980574006185329 30.536190335101974
632,1707,10036,3.9584234347764693 30.55652515666488
649,306,14183,3.9828355737791488 30.54093192270368
658,96,17478,4.0638355181773695 30.49036434264734
671,3408,12695,3.960081544778425 30.547594639667192
691,199,18437,3.9843815852698348 30.534852150956553
710,191,26317,3.9725600624898942 30.526751282391608
719,5938,29406,3.9694160078342913 30.54736169900616
728,939,15703,3.9821318123004756 30.5379396523119
731,1322,15981,3.9688314096174775 30.537421097724543
737,1058,13813,3.965337809873633 30.565311180170283
754,4280,13210,3.951710102894381 30.540265790496825
766,4021,18670,3.96208068479109 30.546051895869475
775,154,13849,3.9387032051039292 30.554037360129655
779,4001,20445,3.850993950174065 30.522114384458238
780,4082,15446,3.9496839767716683 30.54863075229787
795,156,13239,4.044997663305003 30.558583912714806
807,616,11646,3.9629600309426727 30.585002312659324
855,3402,10323,4.072606381491133 31.522554327947116
859,4671,21290,3.966352860243378 30.539079654190846
860,2581,17350,4.0362635721227065 30.533899290467502
889,4289,11210,3.972658509676579 30.526624904611776
894,2703,20774,4.0978014221464765 30.59270802441006
913,2831,15601,3.9781302073715916 30.528073265551154
914,6644,13057,3.963756908235912 30.5476044062202
917,2,11552,3.970776908156754 30.55673553410353
934,4045,20221,3.96218369212019 30.54280293547431
967,118,12010,3.923803149330189 30.55549378698802
973,6630,21993,4.003617826063293 30.555964257404884
988,5113,15803,3.9638456892476017 30.546343994196462
990,1054,12781,4.031184907398938 30.588970052032423
1013,5113,15803,3.983862408469216 30.549472944096113
1023,243,26277,4.094011732578401 30.540574330948242
1041,2196,38288,3.968293678358985 30.54962454686183
1050,52,11404,3.965484398069604 30.548549360772515
1095,158,13955,3.95501239749094 30.546341719355674
1103,2762,20411,3.966184706165297 30.553838535129394
1108,4040,11040,3.9545702648797523 30.560313077831935
1112,4436,10659,4.219071502372577 30.61631996057326
1136,5721,12597,4.01241155085583 30.505477385661685
1137,3251,11273,3.962166823398916 30.510572367928944
1178,161,12533,3.9595592413229577 30.564104085489078
1180,2937,10331,3.9698948957509494 30.53965047251171
1197,2771,10917,3.84151063528126 30.550180110354912
1211,131,18448,3.9673374554263416 30.535909714057926
1225,138,13035,3.964964887765317 30.543576112796867
1231,6643,34477,3.973376894986529 30.547887142517503
1235,356,12967,3.9648199850591794 30.5417206288247
1259,2761,10155,3.9377880212901606 30.545128971002864
1322,2769,11882,3.9624548956559655 30.55707518979235
1327,2773,18810,3.969969507555971 30.543731951173996
1330,5724,19738,4.112215114946319 30.517208253032955
1378,247,17905,3.9651719671359102 30.529302973317247
1396,69,15373,3.967211400390184 30.52097394545424
1401,6645,10999,3.933891863269619 30.53325202836796
1410,4095,11104,4.010104094487811 30.562477907656056
1422,2601,16545,3.9743743421578706 30.545050558133013
1465,4401,14128,3.9724134187264943 30.54025101051172
1472,363,16694,3.966143421935584 30.537104091401524
1486,5590,17624,3.9579153564265894 30.524081697956284
1491,5635,12164,4.004744728313429 30.544114600949655
1502,6633,10281,3.846502853677906 30.560877517611846
1510,141,17631,3.9787943633191305 30.541891359161646
1529,2228,12137,3.933781974010983 30.677599785868235
1557,66,17173,3.973765767936008 30.5460375551411
1579,361,10097,3.9656623134883744 30.5429435788326
1655,155,10537,3.912235845246943 30.523553738483407
1680,5192,63668,3.960678328865668 30.580060679826325
1683,6628,30919,3.9698876067857976 30.55188962639827
1774,6623,12033,3.9745492391735007 30.53416249476615
1775,5586,133897,3.943026065370683 30.534207619639197
1779,2765,15092,3.9594714809469425 30.53889816609678
1796,362,11250,3.965768131946032 30.535890897093495
1802,6612,11105,3.9720682993404863 30.545376605061513
1834,5642,15465,3.97265877887119 30.546332055097253
1864,6640,13971,3.9748965717592344 30.543575688854222
1955,5889,11197,3.9814399288193485 30.574368853895344
2058,5591,20446,3.9708683674149086 30.547572531596817
2083,6631,18305,3.967907869408195 30.551904927833096
2115,6608,20910,3.9759240889242724 30.555691861667825
2133,2766,10313,3.9766173747197935 30.536281589912452
2143,5890,19220,3.970747876395792 30.54425237283232
2185,5589,12058,3.9738403369782564 30.55037697623655
2309,1061,81057,3.970872096944519 30.546117190860375
2364,1711,28603,3.9762633787954638 30.553207147402787
2385,4021,18670,3.969594929990285 30.541316283421775
2397,1322,15981,5.962521843056315 45.822316450891414
2426,1322,15981,3.9675867106772165 30.546631129714296
